,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.01318077
5,0.02155251
6,0.02913259
7,0.038079415
8,0.04632916
9,0.047812246
10,0.046348944
11,0.041911434
12,0.040030945
13,0.034660913
14,0.03283443
15,0.030320898
16,0.027979963
17,0.024047844
18,0.022662014
19,0.018946223
20,0.019484274
21,0.016930513
22,0.020315148
23,0.019767247
24,0.020013168
25,0.018467091
26,0.012504004
27,0.008848436
28,0.0034576356
29,0.0
30,0.0
31,0.010796793
32,0.020452254
33,0.035614237
34,0.0420364
35,0.04354963
36,0.058701165
37,0.07263542
38,0.079858325
39,0.084015325
40,0.08502189
41,0.086426124
42,0.0954745
43,0.09518336
44,0.10262863
45,0.09980463
46,0.09843802
47,0.082833335
48,0.08449865
49,0.08217998
50,0.0718558
51,0.066389695
52,0.06860461
53,0.062939346
54,0.04934437
55,0.039745376
56,0.028611772
57,0.016827889
58,0.007686749
59,0.0013890564
60,0.0
61,0.0
62,0.0042737722
63,0.015254654
64,0.024427287
65,0.036017954
66,0.045654837
67,0.053319886
68,0.061687026
69,0.069983274
70,0.085454114
71,0.09443382
72,0.0978362
73,0.091833815
74,0.10099749
75,0.0910045
76,0.10213405
77,0.09946764
78,0.09653056
79,0.098241
80,0.10380723
81,0.10438256
82,0.074756674
83,0.07980735
84,0.07664025
85,0.070504986
86,0.05756609
87,0.025128812
88,0.021639645
89,0.01056511
90,0.0019057617
91,0.0
92,0.0
93,0.008944377
94,0.021618135
95,0.02927214
96,0.033735417
97,0.03582924
98,0.05194725
99,0.05859843
100,0.061644528
101,0.0687669
102,0.08923217
103,0.07563259
104,0.05133631
105,0.0432336
106,0.044161834
107,0.051045857
108,0.037543915
109,0.025870785
110,0.021144219
111,0.019555159
112,0.019537054
113,0.014879711
114,0.015051417
115,0.0119245425
116,0.007857382
117,0.0044942796
118,0.004582718
119,0.00313624
120,0.0017043129
121,0.00020849705
122,0.0019857287
123,0.0038025752
124,0.011564814
125,0.014651164
126,0.018514313
127,0.01861576
128,0.018526085
129,0.017397925
130,0.020584956
131,0.01870057
132,0.02199883
133,0.021941796
134,0.02621863
135,0.028930724
136,0.02821467
137,0.029005758
138,0.026295684
139,0.026869975
140,0.026705839
141,0.024916269
142,0.022205584
143,0.018557176
144,0.014005378
145,0.013680376
146,0.010213248
147,0.0042309687
148,0.0032768175
149,0.00089945644
150,0.00022680312
151,0.0037320256
152,0.011590406
153,0.018516153
154,0.024427272
155,0.023074083
156,0.026611067
157,0.027351439
158,0.03598854
159,0.039714452
160,0.042551886
161,0.046088163
162,0.04435402
163,0.04316226
164,0.03927459
165,0.040353227
166,0.040088736
167,0.043359
168,0.036750037
169,0.032068316
170,0.024710916
171,0.0273337
172,0.019764706
173,0.018667966
174,0.014365591
175,0.009219259
176,0.0048533157
177,0.00066262484
178,0.0
179,0.0
180,0.0029979795
181,0.009263016
182,0.015093096
183,0.020092241
184,0.02308666
185,0.024976693
186,0.027562506
187,0.026554674
188,0.025419481
189,0.030281313
190,0.039829973
191,0.041207325
192,0.03443861
193,0.033850633
194,0.037578315
195,0.039285608
196,0.039402936
197,0.04710026
198,0.045040756
199,0.04759905
200,0.033978783
201,0.027002826
202,0.021688737
203,0.017634071
204,0.014792956
205,0.013056926
206,0.008965053
207,0.0
208,0.0
209,0.0
210,0.009305663
211,0.023261331
212,0.038661826
213,0.037087157
214,0.04007814
215,0.059472173
216,0.055737354
217,0.08226958
218,0.11161531
219,0.12365394
220,0.1191959
221,0.11773054
222,0.087551795
223,0.07654897
224,0.106005795
225,0.10784511
226,0.08896412
227,0.08577506
228,0.07198411
229,0.072953835
230,0.076588966
231,0.07630977
232,0.03376738
233,0.026631452
234,0.03641674
235,0.024103701
236,0.017551161
237,0.014074869
238,0.007396646
239,0.0
240,0.0
241,0.016301818
242,0.028093792
243,0.036453944
244,0.05978244
245,0.08007426
246,0.09520585
247,0.124668725
248,0.17767434
249,0.20665215
250,0.24028102
251,0.23401064
252,0.25955382
253,0.25508037
254,0.27939466
255,0.2696024
256,0.268566
257,0.25138438
258,0.23734018
259,0.24948382
260,0.2081692
261,0.17786855
262,0.17357388
263,0.124346025
264,0.10682659
265,0.07845914
266,0.07116793
267,0.04298905
268,0.038200665
269,0.019087136
270,0.0070587695
271,0.0
272,0.0
273,0.008509174
274,0.01745253
275,0.025788955
276,0.030792639
277,0.03812509
278,0.040579613
279,0.0411335
280,0.0451569
281,0.053716883
282,0.058207236
283,0.06888956
284,0.06850585
285,0.077026
286,0.079949886
287,0.0791464
288,0.10260071
289,0.104212426
290,0.11413483
291,0.10250221
292,0.085036725
293,0.06308616
294,0.06636143
295,0.055923387
296,0.04181528
297,0.030431338
298,0.02573844
299,0.020372517
300,0.011271648
301,0.003678143
302,0.0
303,0.0
304,0.0020357892
305,0.01102636
306,0.019937031
307,0.030564077
308,0.039247088
309,0.06410334
310,0.085288525
311,0.08305631
312,0.08492687
313,0.09059416
314,0.07457957
315,0.067506656
316,0.06893972
317,0.06572023
318,0.065051004
319,0.058840707
320,0.052982774
321,0.049539104
322,0.06549962
323,0.050436236
324,0.03804239
325,0.048158556
326,0.055436924
327,0.05745285
328,0.05390884
329,0.03935869
330,0.032218836
331,0.02438014
332,0.0152030885
333,0.0036843345
334,0.0
335,0.0
336,0.0048237815
337,0.013448924
338,0.025310867
339,0.041516867
340,0.041664843
341,0.027697168
342,0.029602125
343,0.038403075
344,0.048190944
345,0.04183109
346,0.02943381
347,0.032445796
348,0.03786529
349,0.045880616
350,0.034622964
351,0.025568992
352,0.021913394
353,0.013630383
354,0.0054689273
355,0.009923637
356,0.009393506
357,0.010765202
358,0.014692955
359,0.013499744
360,0.012071691
361,0.009526856
362,0.00771717
363,0.004220836
364,0.0017104223
365,0.0
366,0.0015738681
367,0.006690584
368,0.011247456
369,0.020592421
370,0.030811928
371,0.042959943
372,0.030179702
373,0.022742666
374,0.024182476
375,0.026134782
376,0.0217266
377,0.026584715
378,0.026666924
379,0.01902593
380,0.018571347
381,0.016542904
382,0.016402602
383,0.012163013
384,0.014627643
385,0.018203259
386,0.016880333
387,0.015362844
388,0.0144909695
389,0.010126166
390,0.014264293
391,0.008311719
392,0.0039738864
393,0.00058283657
394,0.00041351467
395,0.0004544109
396,0.018297233
397,0.031821962
398,0.040106416
399,0.056965344
400,0.063246205
401,0.07803039
402,0.08331568
403,0.12172342
404,0.13623162
405,0.17000264
406,0.22476831
407,0.23441866
408,0.16760728
409,0.20391452
410,0.21727353
411,0.21105936
412,0.21371263
413,0.2375046
414,0.21816668
415,0.18964589
416,0.17656216
417,0.19586441
418,0.13010713
419,0.1103632
420,0.110263914
421,0.07012679
422,0.051290516
423,0.034159776
424,0.017730825
425,0.0045679286
426,0.0
427,0.0
428,0.0055129305
429,0.03583443
430,0.047653355
431,0.0692098
