,0
0,0.0
1,0.0
2,0.048249688
3,0.076252945
4,0.10823699
5,0.14219388
6,0.16264325
7,0.20777488
8,0.24157557
9,0.26479867
10,0.2824531
11,0.2654715
12,0.24875057
13,0.23808467
14,0.23493418
15,0.25886393
16,0.2489301
17,0.20709322
18,0.15036944
19,0.12611012
20,0.09780144
21,0.07672967
22,0.054740477
23,0.041030742
24,0.028143235
25,0.020861492
26,0.0128424615
27,0.0058860406
28,0.0014170185
29,0.0
30,0.007917106
31,0.015227996
32,0.0276061
33,0.03789092
34,0.050904457
35,0.06948556
36,0.092178285
37,0.12847644
38,0.17674664
39,0.22746485
40,0.2715721
41,0.30163196
42,0.3338664
43,0.35828906
44,0.3488489
45,0.31180945
46,0.24700439
47,0.21482968
48,0.14391588
49,0.09958406
50,0.07650403
51,0.043655567
52,0.025394104
53,0.018822938
54,0.016547598
55,0.006051086
56,0.0027285442
57,0.0004891753
58,0.016438335
59,0.02452816
60,0.038928714
61,0.060477845
62,0.08792629
63,0.11425842
64,0.13547628
65,0.16629744
66,0.18975195
67,0.22495466
68,0.23742738
69,0.2542171
70,0.25296432
71,0.24368432
72,0.21978524
73,0.1746254
74,0.14472638
75,0.13416494
76,0.12980458
77,0.13229573
78,0.112657204
79,0.083287574
80,0.059854276
81,0.040260825
82,0.029869176
83,0.01820311
84,0.009652652
85,0.0015536249
86,0.0
87,0.0
88,0.007930204
89,0.018289097
90,0.03088396
91,0.042306565
92,0.052665494
93,0.05549873
94,0.065355554
95,0.06981613
96,0.06524183
97,0.07240395
98,0.07834372
99,0.06813778
100,0.057541277
101,0.06316385
102,0.06712519
103,0.08009522
104,0.087619595
105,0.09392636
106,0.105855644
107,0.10225834
108,0.08178537
109,0.07481621
110,0.043313276
111,0.021637097
112,0.014806092
113,0.014337651
114,0.013170145
115,0.012400888
116,0.005673982
117,0.0010719225
118,0.0
119,0.0050275847
120,0.010539912
121,0.013077401
122,0.021549724
123,0.027161099
124,0.03813576
125,0.050116245
126,0.062308148
127,0.06469312
128,0.07633474
129,0.087401666
130,0.07666471
131,0.06952094
132,0.07976991
133,0.068981275
134,0.06103935
135,0.059489295
136,0.051242687
137,0.051784515
138,0.04163214
139,0.05144067
140,0.043086164
141,0.04116166
142,0.041814625
143,0.037721522
144,0.028333865
145,0.015120223
146,0.004928924
147,0.0
148,0.0
149,0.0
150,0.01066149
151,0.01712308
152,0.032292187
153,0.04667648
154,0.05571305
155,0.064431876
156,0.070184246
157,0.07566755
158,0.092541635
159,0.108722985
160,0.118317276
161,0.13686787
162,0.14011294
163,0.121787354
164,0.11265758
165,0.12224376
166,0.116101034
167,0.12329059
168,0.12561134
169,0.098904
170,0.10052428
171,0.080001004
172,0.067301385
173,0.062398765
174,0.04043547
175,0.026131675
176,0.017881826
177,0.009050198
178,0.0015343502
179,0.0
180,0.000842683
181,0.0099068135
182,0.0109926835
183,0.011765711
184,0.009315528
185,0.010127582
186,0.00810717
187,0.008782648
188,0.010318823
189,0.011070877
190,0.013615757
191,0.011790745
192,0.008140244
193,0.009534188
194,0.009311996
195,0.014452092
196,0.02072429
197,0.02899786
198,0.032169677
199,0.033333357
200,0.034174036
201,0.040956743
202,0.04899227
203,0.05039648
204,0.04707352
205,0.029464684
206,0.021067731
207,0.0170191
208,0.0013077855
209,0.0
210,0.021244071
211,0.049454175
212,0.08551902
213,0.12660155
214,0.16462739
215,0.19732833
216,0.2320866
217,0.26634946
218,0.29742888
219,0.33072445
220,0.3604323
221,0.37917233
222,0.3958262
223,0.4047419
224,0.40794313
225,0.40403408
226,0.3959271
227,0.37898496
228,0.35668012
229,0.3261876
230,0.28938082
231,0.249978
232,0.21531989
233,0.1782237
234,0.1407738
235,0.09508117
236,0.04812777
237,0.021036804
238,0.013573989
239,0.0
240,0.0
241,0.0125921
242,0.04008668
243,0.05370248
244,0.068142265
245,0.079502225
246,0.10862976
247,0.15676624
248,0.17102332
249,0.20717698
250,0.2575084
251,0.26099133
252,0.2551424
253,0.24587071
254,0.2541466
255,0.23433283
256,0.20476186
257,0.16305321
258,0.1281236
259,0.097454414
260,0.079391345
261,0.061509896
262,0.046360463
263,0.05393315
264,0.037201256
265,0.02365838
266,0.011356793
267,0.012419499
268,0.0127581805
269,0.003991194
270,0.0
271,0.041446317
272,0.06777735
273,0.10692443
274,0.14544937
275,0.16885456
276,0.19992206
277,0.2304182
278,0.27461764
279,0.30384946
280,0.33431607
281,0.35867468
282,0.37865704
283,0.3968551
284,0.40004414
285,0.39341748
286,0.3969438
287,0.38157937
288,0.35551354
289,0.31343752
290,0.1808429
291,0.095137075
292,0.06393787
293,0.04057052
294,0.032644376
295,0.025896266
296,0.020829871
297,0.020348065
298,0.011787899
299,0.0035091564
300,0.006076142
301,0.004395552
302,0.005303383
303,0.011139691
304,0.015024953
305,0.020274267
306,0.029916935
307,0.040554687
308,0.04590805
309,0.06032904
310,0.08960902
311,0.11879973
312,0.112550914
313,0.1318165
314,0.105768576
315,0.09404858
316,0.08831398
317,0.10604102
318,0.10878495
319,0.10533242
320,0.08171106
321,0.057057176
322,0.038172994
323,0.032143652
324,0.02047658
325,0.016403712
326,0.019690908
327,0.0089698285
328,0.0026072636
329,0.0011374801
330,0.0
331,0.0011731759
332,0.014196992
333,0.028492562
334,0.051971152
335,0.080657266
336,0.10459999
337,0.11567597
338,0.14864643
339,0.1521403
340,0.18493274
341,0.20280015
342,0.21997371
343,0.18799931
344,0.18392003
345,0.19072911
346,0.18044804
347,0.20821854
348,0.19103503
349,0.17909634
350,0.1832836
351,0.16034873
352,0.13883308
353,0.1609847
354,0.15126194
355,0.116680354
356,0.0812762
357,0.07077603
358,0.055860586
359,0.034981035
360,0.013917588
361,0.0
362,0.0
363,0.0
364,0.008282132
365,0.022198722
366,0.033560604
367,0.043468244
368,0.05663771
369,0.054810554
370,0.051774777
371,0.07355925
372,0.0931166
373,0.09015825
374,0.11310048
375,0.14310682
376,0.18464774
377,0.21033031
378,0.20073953
379,0.16328764
380,0.13336554
381,0.12638642
382,0.12586328
383,0.12350641
384,0.11736942
385,0.11825486
386,0.11872722
387,0.08961479
388,0.086927235
389,0.06277066
390,0.04832508
391,0.03470622
392,0.016214706
393,0.0050736964
394,0.0
395,0.0
396,0.0
397,0.0019201115
398,0.006294392
399,0.010309786
400,0.01328548
401,0.02155722
402,0.03785726
403,0.047240544
404,0.052121677
405,0.0593753
406,0.06830311
407,0.08187817
408,0.08798281
409,0.099826075
410,0.124284685
411,0.15970837
412,0.19320649
413,0.20318118
414,0.22022042
415,0.22052267
416,0.20185328
417,0.20049374
418,0.1971694
419,0.1516422
420,0.12282648
421,0.095453955
422,0.036911733
423,0.027133785
424,0.011921145
425,0.003536582
426,0.0036677942
427,0.0009238273
428,0.0
429,0.006307468
430,0.011381835
431,0.018262357
